"Hot Spots - Method","Self time [%]","Self time","Invocations"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.shouldParkAfterFailedAcquire(java.util.concurrent.locks.AbstractQueuedSynchronizer.Node, java.util.concurrent.locks.AbstractQueuedSynchronizer.Node)","3.2075655E-4","0.029 ms","98"
"java.util.IdentityHashMap$KeyIterator.next()","2.986354E-4","0.027 ms","4"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.signalAll()","2.986354E-4","0.027 ms","1"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$Node.predecessor()","2.8757483E-4","0.026 ms","121"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.unparkSuccessor(java.util.concurrent.locks.AbstractQueuedSynchronizer.Node)","2.8757483E-4","0.026 ms","26"
"java.util.concurrent.ThreadPoolExecutor.workerCanExit()","2.7651427E-4","0.025 ms","10"
"java.util.logging.LogManager$RootLogger.getHandlers()","2.7651427E-4","0.025 ms","1"
"java.util.IdentityHashMap.access$600(Object)","2.7651427E-4","0.025 ms","4"
"java.util.IdentityHashMap$KeyIterator.<init>(java.util.IdentityHashMap)","2.7651427E-4","0.025 ms","2"
"java.lang.ClassLoader.checkName(String)","2.6545368E-4","0.024 ms","3"
"java.util.logging.LogManager.getLoggerNames()","2.6545368E-4","0.024 ms","1"
"java.util.IdentityHashMap$IdentityHashMapIterator.<init>(java.util.IdentityHashMap)","2.6545368E-4","0.024 ms","2"
"java.lang.String.indexOf(int)","2.5439312E-4","0.023 ms","3"
"java.util.logging.Logger.checkAccess()","2.5439312E-4","0.023 ms","19"
"java.util.HashMap.keySet()","2.4333256E-4","0.022 ms","10"
"java.util.Hashtable.<init>()","2.4333256E-4","0.022 ms","1"
"java.util.logging.Logger.getHandlers()","2.3227198E-4","0.021 ms","19"
"java.util.Properties.<init>(java.util.Properties)","2.3227198E-4","0.021 ms","1"
"java.util.HashMap.newKeyIterator()","2.212114E-4","0.02 ms","10"
"java.util.Hashtable$Enumerator.<init>(java.util.Hashtable, int, boolean)","2.212114E-4","0.02 ms","1"
"java.util.IdentityHashMap$KeySet.<init>(java.util.IdentityHashMap, java.util.IdentityHashMap.1)","2.212114E-4","0.02 ms","1"
"java.util.HashMap$KeySet.iterator()","2.1015084E-4","0.019 ms","10"
