"Hot Spots - Method","Self time [%]","Self time","Invocations"
"java.io.ObjectOutputStream$BlockDataOutputStream.writeUTF(String)","3.7061397E-4","1.379 ms","2849"
"java.io.ObjectStreamClass.getFields(boolean)","3.687327E-4","1.372 ms","25366"
"java.io.ObjectOutputStream$HandleTable.growEntries()","3.6523887E-4","1.359 ms","345"
"java.io.ObjectStreamClass.checkDefaultSerialize()","3.638951E-4","1.354 ms","24257"
"java.io.ObjectStreamClass.getClassDataLayout()","3.523386E-4","1.311 ms","17023"
"java.util.Collections$UnmodifiableCollection.iterator()","3.504573E-4","1.304 ms","2860"
"java.util.TreeMap$EntrySet.iterator()","3.4454468E-4","1.282 ms","2703"
"java.io.ObjectInputStream$PeekInputStream.readFully(byte[], int, int)","3.4346967E-4","1.278 ms","7913"
"java.io.ObjectStreamClass.classNamesEqual(String, String)","3.3916958E-4","1.262 ms","812"
"java.io.ObjectInputStream$BlockDataInputStream.readUnsignedShort()","3.3137566E-4","1.233 ms","2144"
"java.util.HashMap.<init>()","3.2492552E-4","1.209 ms","504"
"java.lang.reflect.Constructor.newInstance(Object[])","3.2358174E-4","1.204 ms","503"
"java.io.ObjectInputStream$BlockDataInputStream.read()","3.1551908E-4","1.174 ms","6979"
"java.util.Arrays.sort(Object[])","3.1068147E-4","1.156 ms","420"
"java.io.ObjectInputStream$BlockDataInputStream.readByte()","3.0906894E-4","1.15 ms","6979"
"java.io.SerialCallbackContext.<init>(Object, java.io.ObjectStreamClass)","3.0342507E-4","1.129 ms","3221"
"java.lang.AbstractStringBuilder.expandCapacity(int)","2.9697493E-4","1.105 ms","2239"
"java.util.AbstractList.<init>()","2.8703097E-4","1.068 ms","3056"
"java.io.SerialCallbackContext.getObj()","2.8192461E-4","1.049 ms","3222"
"java.io.ObjectInputStream$BlockDataInputStream.readUTF()","2.7816204E-4","1.035 ms","2144"
"java.io.Bits.putLong(byte[], int, long)","2.74937E-4","1.023 ms","10532"
"java.util.concurrent.locks.LockSupport.parkNanos(Object, long)","2.6553054E-4","0.988 ms","1"
"java.io.ObjectStreamClass.newInstance()","2.6553054E-4","0.988 ms","503"
"java.io.ObjectInputStream.defaultReadObject()","2.633805E-4","0.98 ms","420"
"java.lang.Long.valueOf(long)","2.6203672E-4","0.975 ms","2150"
"java.util.AbstractSet.<init>()","2.5693036E-4","0.956 ms","2409"
"java.io.Bits.getLong(byte[], int)","2.51824E-4","0.937 ms","2835"
"java.io.BufferedOutputStream.flushBuffer()","2.499427E-4","0.93 ms","1474"
"java.io.ObjectInputStream$BlockDataInputStream.peekByte()","2.4967396E-4","0.929 ms","5999"
"java.util.TreeMap.getFirstEntry()","2.4618013E-4","0.916 ms","5563"
"java.util.Hashtable.get(Object)","2.4241755E-4","0.902 ms","1021"
"java.lang.AbstractStringBuilder.<init>(int)","2.4107378E-4","0.897 ms","3965"
"java.util.TreeMap$KeySet.iterator()","2.402675E-4","0.894 ms","2860"
"java.io.ObjectInputStream$BlockDataInputStream.readUTFSpan(StringBuilder, long)","2.3865497E-4","0.888 ms","2144"
"java.io.ObjectInputStream.readClassDesc(boolean)","2.3623617E-4","0.879 ms","1582"
"java.util.TreeMap$KeyIterator.<init>(java.util.TreeMap, java.util.TreeMap.Entry)","2.3516115E-4","0.875 ms","2860"
"java.io.ObjectInputStream$BlockDataInputStream.skipBlockData()","2.257547E-4","0.84 ms","1231"
"java.io.ObjectInputStream.readLong()","2.1688578E-4","0.807 ms","2378"
"java.util.TreeMap.entrySet()","2.1634826E-4","0.805 ms","2703"
"java.io.FilterInputStream.read()","2.1204817E-4","0.789 ms","915"
"java.util.AbstractMap.<init>()","2.0532928E-4","0.764 ms","3957"
"java.io.ObjectInputStream$HandleTable.assign(Object)","2.04523E-4","0.761 ms","2746"
"java.io.SerialCallbackContext.checkAndSetUsed()","2.04523E-4","0.761 ms","3222"
"java.io.ObjectInputStream$BlockDataInputStream.setBlockDataMode(boolean)","2.0049168E-4","0.746 ms","9647"
"java.util.TreeMap$PrivateEntryIterator.<init>(java.util.TreeMap, java.util.TreeMap.Entry)","2.0049168E-4","0.746 ms","5563"
"java.util.TreeMap$EntryIterator.<init>(java.util.TreeMap, java.util.TreeMap.Entry)","2.0022293E-4","0.745 ms","2703"
"java.io.ObjectOutputStream$BlockDataOutputStream.writeBlockHeader(int)","1.9941665E-4","0.742 ms","3255"
"java.io.ObjectInputStream$PeekInputStream.read()","1.9914791E-4","0.741 ms","6979"
"java.io.ObjectOutputStream.writeByte(int)","1.9592284E-4","0.729 ms","3369"
"java.util.concurrent.locks.LockSupport.unpark(Thread)","1.8974146E-4","0.706 ms","7"
"java.io.DataInputStream.readLong()","1.8893518E-4","0.703 ms","522"
"java.io.ObjectInputStream$BlockDataInputStream.refill()","1.8517261E-4","0.689 ms","1754"
"java.lang.System.getSecurityManager()","1.8302257E-4","0.681 ms","6227"
"java.util.ArrayList.toArray(Object[])","1.8060376E-4","0.672 ms","503"
"java.io.ObjectInputStream$BlockDataInputStream.read(byte[], int, int, boolean)","1.7952874E-4","0.668 ms","648"
"java.util.ArrayList.<init>(int)","1.7764745E-4","0.661 ms","605"
"java.io.ObjectStreamClass.getSerialVersionUID()","1.7657243E-4","0.657 ms","2971"
"javax.management.ObjectName.addProperty(javax.management.ObjectName.Property, int, java.util.Map, String)","1.7630367E-4","0.656 ms","606"
"java.io.ObjectOutputStream.writeInt(int)","1.7603493E-4","0.655 ms","3255"
"java.io.Bits.putShort(byte[], int, short)","1.7361612E-4","0.646 ms","11477"
"java.io.ObjectOutputStream.writeUTF(String)","1.730786E-4","0.644 ms","2849"
"clojure.lang.PersistentList$EmptyList.seq()","1.725411E-4","0.642 ms","9998"
"java.lang.String.lastIndexOf(int)","1.6985353E-4","0.632 ms","1624"
"java.io.BufferedOutputStream.write(int)","1.6770349E-4","0.624 ms","922"
