"Hot Spots - Method","Self time [%]","Self time","Invocations"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.compareAndSetNext(java.util.concurrent.locks.AbstractQueuedSynchronizer.Node, java.util.concurrent.locks.AbstractQueuedSynchronizer.Node, java.util.concurrent.locks.AbstractQueuedSynchronizer.Node)","1.273734E-4","3.19 ms","1480"
"java.util.Collections$UnmodifiableCollection$1.<init>(java.util.Collections.UnmodifiableCollection)","1.2453843E-4","3.119 ms","13721"
"java.lang.StringBuilder.<init>()","1.2334056E-4","3.089 ms","13023"
"java.lang.System.getSecurityManager()","1.1699186E-4","2.93 ms","16554"
"java.util.TreeMap$KeySet.iterator()","1.0349587E-4","2.592 ms","13842"
"java.util.TreeMap$EntrySet.<init>(java.util.TreeMap)","1.02976795E-4","2.579 ms","11265"
"java.util.TreeMap$KeyIterator.<init>(java.util.TreeMap, java.util.TreeMap.Entry)","1.02617436E-4","2.57 ms","13842"
"java.lang.String.charAt(int)","1.0169907E-4","2.547 ms","21708"
"java.lang.String.substring(int, int)","9.686767E-5","2.426 ms","8450"
"java.util.TreeMap.<init>()","9.555001E-5","2.393 ms","11265"
"java.util.AbstractSet.<init>()","9.523058E-5","2.385 ms","11515"
"java.lang.ThreadLocal$ThreadLocalMap.set(ThreadLocal, Object)","8.46494E-5","2.12 ms","3442"
"java.lang.AbstractStringBuilder.expandCapacity(int)","8.401054E-5","2.104 ms","9092"
"clojure.lang.PersistentList$EmptyList.seq()","8.2852595E-5","2.075 ms","10016"
"java.util.HashMap.<init>()","7.710283E-5","1.931 ms","1437"
"java.util.AbstractMap.<init>()","7.434773E-5","1.862 ms","15317"
"java.lang.Long.valueOf(long)","7.243114E-5","1.814 ms","6378"
"java.lang.ThreadLocal$ThreadLocalMap.access$100(ThreadLocal.ThreadLocalMap, ThreadLocal, Object)","6.8278525E-5","1.71 ms","3442"
"java.lang.String.hashCode()","6.356691E-5","1.592 ms","13263"
"java.util.concurrent.locks.ReentrantLock.unlock()","6.2408966E-5","1.563 ms","44"
"java.lang.ClassLoader.findBootstrapClassOrNull(String)","6.141075E-5","1.538 ms","593"
"java.lang.String.<init>(char[])","6.009309E-5","1.505 ms","5340"
"java.rmi.server.ObjID.equals(Object)","5.6100194E-5","1.405 ms","2418"
"clojure.lang.AFn.<init>()","4.9312268E-5","1.235 ms","10034"
"java.lang.ClassLoader.findLoadedClass(String)","4.727589E-5","1.184 ms","595"
"java.lang.Thread.getName()","4.547909E-5","1.139 ms","4946"
"java.lang.String.toCharArray()","4.503987E-5","1.128 ms","1017"
"java.lang.String.lastIndexOf(int)","4.392186E-5","1.1 ms","4274"
"java.io.ObjectStreamClass$FieldReflectorKey.equals(Object)","3.964946E-5","0.993 ms","2585"
"javax.management.openmbean.SimpleType.equals(Object)","3.964946E-5","0.993 ms","5174"
"java.lang.ThreadLocal.set(Object)","3.7932514E-5","0.95 ms","2432"
"java.lang.String.<init>(int, int, char[])","3.7173864E-5","0.931 ms","7798"
"java.util.HashMap.newValueIterator()","3.6095782E-5","0.904 ms","1407"
"java.lang.ClassLoader.checkName(String)","3.6015925E-5","0.902 ms","1189"
"java.lang.ThreadLocal$ThreadLocalMap.rehash()","3.126438E-5","0.783 ms","40"
"java.lang.String.lastIndexOf(int, int)","3.082516E-5","0.772 ms","4274"
"java.net.URLClassLoader.findClass(String)","3.0226225E-5","0.757 ms","2"
"java.lang.Long.equals(Object)","2.850928E-5","0.714 ms","1209"
"java.util.HashMap$ValueIterator.<init>(java.util.HashMap)","2.6672547E-5","0.668 ms","1407"
"java.util.HashMap.transfer(java.util.HashMap.Entry[])","2.5993755E-5","0.651 ms","80"
"java.lang.ref.Reference.<init>(Object)","2.3757733E-5","0.595 ms","1131"
"java.util.HashMap$Values.iterator()","2.1721356E-5","0.544 ms","1407"
"java.util.HashMap.resize(int)","2.116235E-5","0.53 ms","80"
"java.lang.ClassLoader.loadClass(String, boolean)","2.0523486E-5","0.514 ms","595"
"java.util.HashMap$ValueIterator.<init>(java.util.HashMap, java.util.HashMap.1)","2.000441E-5","0.501 ms","1407"
"java.lang.Long.hashCode()","1.8047891E-5","0.452 ms","1209"
"java.rmi.server.UID.equals(Object)","1.7768389E-5","0.445 ms","1209"
"java.lang.String.indexOf(int)","1.7169454E-5","0.43 ms","1191"
"java.util.concurrent.locks.ReentrantReadWriteLock$Sync$HoldCounter.<init>()","1.6690306E-5","0.418 ms","1000"
"java.lang.ThreadLocal$ThreadLocalMap.nextIndex(int, int)","1.6011514E-5","0.401 ms","6394"
"java.util.HashSet.<init>()","1.5212935E-5","0.381 ms","219"
"java.lang.ClassLoader.loadClass(String)","1.5093148E-5","0.378 ms","593"
"java.lang.ThreadLocal$ThreadLocalMap$Entry.<init>(ThreadLocal, Object)","1.3535919E-5","0.339 ms","1014"
"java.util.concurrent.atomic.AtomicInteger.incrementAndGet()","1.2058547E-5","0.302 ms","145"
"java.lang.ref.WeakReference.<init>(Object)","1.13398255E-5","0.284 ms","1128"
